2026-03-11 12:53:35 [background-preinit] INFO  o.h.validator.internal.util.Version [REQ:] - HV000001: Hibernate Validator 8.0.1.Final
2026-03-11 12:53:35 [restartedMain] INFO  c.J.J.JobSchedulingProjectApplication [REQ:] - Starting JobSchedulingProjectApplication using Java 17.0.12 with PID 33552 (C:\Users\pulkit.bohra.in\Desktop\JobSchedulingProject\JobSchedulingProject\target\classes started by pulkit.bohra.in in C:\Users\pulkit.bohra.in\Desktop\JobSchedulingProject)
2026-03-11 12:53:35 [restartedMain] INFO  c.J.J.JobSchedulingProjectApplication [REQ:] - No active profile set, falling back to 1 default profile: "default"
2026-03-11 12:53:37 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [REQ:] - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-11 12:53:37 [restartedMain] INFO  o.a.catalina.core.StandardService [REQ:] - Starting service [Tomcat]
2026-03-11 12:53:37 [restartedMain] INFO  o.a.catalina.core.StandardEngine [REQ:] - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-03-11 12:53:37 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [REQ:] - Initializing Spring embedded WebApplicationContext
2026-03-11 12:53:37 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [REQ:] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-11 12:53:37 [restartedMain] INFO  org.hibernate.Version [REQ:] - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-11 12:53:37 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [REQ:] - HHH000026: Second-level cache disabled
2026-03-11 12:53:37 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [REQ:] - HikariPool-1 - Starting...
2026-03-11 12:53:38 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [REQ:] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7df289de
2026-03-11 12:53:38 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [REQ:] - HikariPool-1 - Start completed.
2026-03-11 12:53:39 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [REQ:] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-11 12:53:40 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [REQ:] - Starting ProtocolHandler ["http-nio-8080"]
2026-03-11 12:53:40 [restartedMain] INFO  c.J.J.JobSchedulingProjectApplication [REQ:] - Started JobSchedulingProjectApplication in 6.164 seconds (process running for 6.985)
2026-03-11 12:53:41 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Cron Job Started
2026-03-11 12:53:41 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Webhook URL: https://chat.googleapis.com/v1/spaces/AAQAwBis3lE/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=R9AoxRqZ-taUFkSAQpK_3O7ekgNVGLmIaRgX4KDMqqQ
2026-03-11 12:53:42 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Job 3 executed
2026-03-11 12:53:42 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Cron Job Completed
2026-03-11 12:53:42 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Webhook URL: https://chat.googleapis.com/v1/spaces/AAQAwBis3lE/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=R9AoxRqZ-taUFkSAQpK_3O7ekgNVGLmIaRgX4KDMqqQ
2026-03-11 12:53:43 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Job 4 executed
2026-03-11 12:53:43 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Cron Job Completed
2026-03-11 12:54:40 [scheduling-1] INFO  c.J.J.service.JobScanner [REQ:] - Cron Job Started
2026-03-11 12:54:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [REQ:] - HikariPool-1 - Shutdown initiated...
2026-03-11 12:54:53 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [REQ:] - HikariPool-1 - Shutdown completed.
